address,year
"Пермский край, г. Пермь, ул.  Окулова, д. 2а",1801
"Пермский край, г. Пермь, ул. Монастырская, д. 3",1801
"Пермский край, г. Пермь",1801
"Пермский край, г. Пермь, улица Окулова, д. 1",1801
"Пермский край, г. Пермь, улица Окулова, д. 2.",1801
"Пермский край, г. Пермь, улица Окулова, 3 / Комсомольский проспект, 2",1801
"Пермский край, г. Пермь, Мотовилихинский район, ул. Красная площадь, 1",1736
"Пермский край, г. Пермь, ул. Советская, д. 1",1757
"Пермский край, г. Пермь, Комсомольский проспект, д. 6",1793
"Пермский край, г. Пермь, Комсомольский проспект, д. 4",1798
"Пермский край, г. Пермь, Новое кладбище",1820
"Пермский край, г. Пермь, Куйбышева ул., 6",1820
"Пермский край, г. Пермь, ул. Монастырская, д.11.",1820
"Пермский край, г. Пермь, ул. Монастырская, д.11, литера А",1820
"Пермский край, г. Пермь, ул. Монастырская, 11",1820
"Пермский край, г. Пермь, ул. Монастырская, д.11, литера В",1820
"Пермский край, г. Пермь, ул. Монастырская, д.11, литера Д 1",1820
"Пермский край, г. Пермь, ул. Монастырская, д.11, литеры II-III",1820
"Пермский край, г. Пермь, ул. Монастырская, д.11, литер ll",1820
"Пермский край, г. Пермь, ул. Монастырская, д.11, литера Б",1820
"Пермский край, г. Пермь, ул. Монастырская, д.11, литера В 1",1820
"Пермский край, г. Пермь, городской сад им. Горького",1824
"Пермский край, г. Пермь, Красная пл., д. 1",1825
"Пермский край, г. Пермь, ул. Сибирская, д. 20",1830
"Пермский край, г. Пермь, ул. Максима Горького, д. 28",1854
"Пермский край, г. Пермь, ул. Максима Горького, д. 28",1854
"Пермский край, г. Пермь, ул.1905 года, д. 35",1863
"Пермский край, г. Пермь, ул. 1905 года, территория завода",1866
"Пермский край, г. Пермь",1870
"Пермская область, г. Пермь, ул. Ленина, д. 32",1870
"Пермский край, г. Пермь, ул. 1905 года, территория завода",1875
"Пермский край, г. Пермь, ул. Максима Горького, д. 2",1876
"Пермский край, г. Пермь, ул. Монастырская, д. 9",1876
"Пермский край, г. Пермь, ул. Максима Горького, д. 2, ул. Монастырская, д. 9",1876
"Пермский край, г. Пермь, ул. Советская, д. 1",1879
"Пермский край, Пермская область, г. Пермь, ул. Орджоникидзе, береговой склон г. Слудка",1880
"Пермский край, г. Пермь, ул. 1905 года, территория завода",1880
"Пермский край, г. Пермь, ул. Ленина, 11, ул. Николая Островского, 13",1882
"Пермский край, г. Пермь, ул. Свердлова, 32",1883
"Пермский край, г. Пермь, улица Ленина д. 11; улица Николая Островского д. 13",1889
"Пермский край, г. Пермь, ул. Сибирская, д. 80",1890
"Пермский край, г. Пермь, ул.1905 года, д. 35, территория завода",1890
"Пермский край, г. Пермь, ст. Бахаревка",1890
"Пермский край, г. Пермь, ст. Бахаревка",1890
"Пермский край, г. Пермь, ст. Бахаревка",1890
"Пермский край, г. Пермь, ст. Бахаревка",1890
"Пермский край, г. Пермь, ул. Плеханова, 39 (во дворе)",1905
"Пермский край, г. Пермь, Пушкина ул., 76",1911
"Пермский край, г. Пермь, ул. Петропавловская, д. 57",1912
"Пермский край, г. Пермь, ул. Буксирная, д. 4 проходных судозавода ""Кама""",1930
"Пермский край, г. Пермь, ул.Уральская, 87",1935
"г. Пермь, ул. Луначарского, д. 95",1937
"Пермский край, г. Пермь, Комсомольский сквер",1955
"Пермский край, г. Пермь, Комсомольский пр., д. 53",1960
"Пермский край, г. Пермь, ул. Уральская, 93",1963
"Пермский край, г. Пермь, ул. Ленина, д. 70",1966
"Пермский край, г. Пермь, ул. Уральская, д. 112",1970
"Пермский край, г. Пермь, ул. Мира, д. 39",1970
"Пермский край, г. Пермь, ул. Ленина, 53",1981
"Пермский край, г. Пермь, пл. Дружбы",1988
"Пермский край, г. Пермь, ул. 25 Октября, 16",1801
"Пермский край, г. Пермь, ул. 1905 года, д. 4",1801
"Пермский край, г. Пермь, ул. Генкеля, д. 4",1801
"Пермский край, г. Пермь, ул. Петропавловская д. 9",1801
"Пермский край, г. Пермь, ул.Лифанова, 18",1801
"Пермский край, г. Пермь, на территории по ул. Советской, д. 1",1801
"Пермский край, г. Пермь, ул. Сибирская, д.35а",1801
"Пермский край, г. Пермь, ул. Сибирская, д.35, 35а",1801
"Пермский край, г. Пермь, ул. Ленина, д. 26",1801
"Пермский край, г. Пермь, ул. Сибирская, 19а, 19б",1801
"Пермский край, г. Пермь, ул. Газеты ""Звезда"", д. 12",1801
"Пермский край, г. Пермь, ул. 1905 года, территория завода",1801
"Пермский край, г. Пермь, ул. Максима Горького, д. 28",1801
"Пермский край, г. Пермь, ул. Советская, д. 32",1801
"Пермский край, г. Пермь, ул. Сибирская, д. 25",1801
"Пермский край, г. Пермь, ул. Кировоградская, д. 152",1901
"Пермский край, г. Пермь, ул. Куйбышева, д. 33",1901
"Пермский край, г. Пермь, ул. Куйбышева, д. 31",1901
"Пермский край, г. Пермь, ул. 1905 года, д. 22",1801
"Пермский край, г. Пермь, шоссе Космонавтов, д. 16",1901
"Пермский край, г. Пермь, шоссе Космонавтов, д. 16, д. 18",1901
"Пермский край, г. Пермь, шоссе Космонавтов, д. 18",1901
"Пермский край, г. Пермь, шоссе Космонавтов, д. 16, д. 18",1901
"Пермский край, г. Пермь, ул. Газеты ""Звезда"", 18",1801
"Пермский край, г. Пермь, ул. 1905 года, территория завода",1801
"Пермский край, г. Пермь, ул. Парковая, д. 2",1801
"Пермский край, г. Пермь, Комсомольский проспект, д. 4, 6",1801
